GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ES-2023-2Sem-Sexta-Feira-LIGE-GrupoA,models,DataAula,105,0,12,0,19,0,14,0,8,0
ES-2023-2Sem-Sexta-Feira-LIGE-GrupoA,models,Horario,122,0,12,0,31,0,17,0,11,0
ES-2023-2Sem-Sexta-Feira-LIGE-GrupoA,models,Aula,155,0,20,0,33,0,23,0,13,0
ES-2023-2Sem-Sexta-Feira-LIGE-GrupoA,models,Curso,17,0,0,0,7,0,4,0,4,0
ES-2023-2Sem-Sexta-Feira-LIGE-GrupoA,models,DiaSemana,92,0,4,0,16,0,6,0,4,0
ES-2023-2Sem-Sexta-Feira-LIGE-GrupoA,models,UnidadeCurricular,84,0,10,0,15,0,13,0,8,0
ES-2023-2Sem-Sexta-Feira-LIGE-GrupoA,utils.importer,FileDownloader,131,0,18,0,35,0,13,0,4,0
ES-2023-2Sem-Sexta-Feira-LIGE-GrupoA,utils.importer,ImportFileReader,420,0,34,0,89,0,26,0,9,0
ES-2023-2Sem-Sexta-Feira-LIGE-GrupoA,controllers,MainMenuController,11,0,0,0,4,0,2,0,2,0
ES-2023-2Sem-Sexta-Feira-LIGE-GrupoA,controllers,ImportFilesController,109,0,8,0,32,0,10,0,6,0
ES-2023-2Sem-Sexta-Feira-LIGE-GrupoA,controllers,ConvertController,38,0,2,0,13,0,4,0,3,0
ES-2023-2Sem-Sexta-Feira-LIGE-GrupoA,controllers,ViewController,154,0,10,0,42,0,22,0,17,0
ES-2023-2Sem-Sexta-Feira-LIGE-GrupoA,controllers,ExportController,118,0,10,0,35,0,9,0,4,0
ES-2023-2Sem-Sexta-Feira-LIGE-GrupoA,controllers,ExportController.new MouseAdapter() {...},23,0,2,0,7,0,3,0,2,0
ES-2023-2Sem-Sexta-Feira-LIGE-GrupoA,controllers,CreateScheduleController,11,0,0,0,4,0,2,0,2,0
ES-2023-2Sem-Sexta-Feira-LIGE-GrupoA,controllers,ShowScheduleController,163,0,10,0,41,0,10,0,5,0
ES-2023-2Sem-Sexta-Feira-LIGE-GrupoA,gui,App,191,0,0,0,42,0,12,0,12,0
ES-2023-2Sem-Sexta-Feira-LIGE-GrupoA,utils.exporter,GistExporter,61,0,0,0,15,0,2,0,2,0
ES-2023-2Sem-Sexta-Feira-LIGE-GrupoA,utils.exporter,FileExporter,482,0,16,0,66,0,15,0,7,0
ES-2023-2Sem-Sexta-Feira-LIGE-GrupoA,views,View,10,0,0,0,5,0,2,0,2,0
ES-2023-2Sem-Sexta-Feira-LIGE-GrupoA,views,ConvertFilesView,87,0,4,0,19,0,7,0,5,0
ES-2023-2Sem-Sexta-Feira-LIGE-GrupoA,views,ImportFilesView,43,0,0,0,10,0,4,0,4,0
ES-2023-2Sem-Sexta-Feira-LIGE-GrupoA,views,ShowScheduleView,46,0,0,0,11,0,5,0,5,0
ES-2023-2Sem-Sexta-Feira-LIGE-GrupoA,views,CreateScheduleView,24,0,0,0,7,0,3,0,3,0
ES-2023-2Sem-Sexta-Feira-LIGE-GrupoA,views,ExportFilesView,60,0,0,0,13,0,5,0,5,0
ES-2023-2Sem-Sexta-Feira-LIGE-GrupoA,views,MainMenuView,85,0,0,0,19,0,7,0,7,0
